PRECISE MISSION TIME (min),Ppx,Ppy,Ppz
3461.650291,-238193.8142,-62382.22754,-18412.44484
3462.650291,-238258.4221,-62412.78675,-18428.92706
3463.650291,-238323.0075,-62443.33982,-18445.40743
3464.650291,-238387.5703,-62473.88675,-18461.88595
3465.650291,-238452.1107,-62504.42755,-18478.36263
3466.650291,-238516.6287,-62534.96222,-18494.83745
3467.650291,-238581.1242,-62565.49075,-18511.31044
3468.650291,-238645.5973,-62596.01316,-18527.78157
3469.650291,-238710.0479,-62626.52943,-18544.25086
3470.650291,-238774.4762,-62657.03958,-18560.7183
3471.650291,-238838.8821,-62687.54361,-18577.18389
3472.650291,-238903.2656,-62718.04152,-18593.64764
3473.650291,-238967.6267,-62748.53331,-18610.10953
3474.650291,-239031.9656,-62779.01898,-18626.56958
3475.650291,-239096.282,-62809.49854,-18643.02779
3476.650291,-239160.5762,-62839.97199,-18659.48414
3477.650291,-239224.848,-62870.43932,-18675.93865
3478.650291,-239289.0976,-62900.90054,-18692.3913
3479.650291,-239353.3249,-62931.35566,-18708.84211
3480.650291,-239417.5299,-62961.80468,-18725.29107
3481.650291,-239481.7126,-62992.24759,-18741.73819
3482.650291,-239545.8731,-63022.6844,-18758.18345
3483.650291,-239610.0114,-63053.11511,-18774.62686
3484.650291,-239674.1275,-63083.53973,-18791.06843
3485.650291,-239738.2214,-63113.95825,-18807.50815
3486.650291,-239802.2931,-63144.37068,-18823.94601
3487.650291,-239866.3426,-63174.77702,-18840.38203
3488.650291,-239930.37,-63205.17727,-18856.8162
3489.650291,-239994.3752,-63235.57143,-18873.24852
3490.650291,-240058.3583,-63265.95951,-18889.67899
3491.650291,-240122.3193,-63296.34151,-18906.10761
3492.650291,-240186.2581,-63326.71742,-18922.53438
3493.650291,-240250.1749,-63357.08726,-18938.9593
3494.650291,-240314.0696,-63387.45102,-18955.38237
3495.650291,-240377.9422,-63417.80871,-18971.80359
3496.650291,-240441.7928,-63448.16033,-18988.22295
3497.650291,-240505.6213,-63478.50587,-19004.64047
3498.650291,-240569.4279,-63508.84535,-19021.05614
3499.650291,-240633.2123,-63539.17876,-19037.46996
3500.650291,-240696.9748,-63569.50611,-19053.88193
3501.650291,-240760.7153,-63599.8274,-19070.29204
3502.650291,-240824.4339,-63630.14262,-19086.70031
3503.650291,-240888.1304,-63660.45179,-19103.10672
