MISSION ELAPSED TIME (min),Rx(km)[J2000-EARTH],Ry(km)[J2000-EARTH],Rz(km)[J2000-EARTH]
610.5079051,-68148.26574,-21745.48437,-8394.250331
610.5413227,-68148.97195,-21747.22247,-8395.602832
610.5747404,-68149.67786,-21748.96047,-8396.955297
610.6081581,-68150.38348,-21750.69838,-8398.307727
610.6415758,-68151.08882,-21752.4362,-8399.66012
610.6749935,-68151.79385,-21754.17392,-8401.012477
610.7084112,-68152.4986,-21755.91156,-8402.364798
610.7418289,-68153.20305,-21757.64909,-8403.717083
610.7752466,-68153.90722,-21759.38654,-8405.069332
610.8086643,-68154.61109,-21761.12389,-8406.421545
610.842082,-68155.31466,-21762.86115,-8407.773722
610.8754997,-68156.01795,-21764.59831,-8409.125863
610.9089174,-68156.72094,-21766.33538,-8410.477968
610.9423351,-68157.42364,-21768.07236,-8411.830037
610.9757528,-68158.12605,-21769.80925,-8413.18207
611.0091705,-68158.82817,-21771.54604,-8414.534067
611.0425882,-68159.53,-21773.28274,-8415.886028
611.0760059,-68160.23153,-21775.01934,-8417.237952
611.1094236,-68160.93277,-21776.75585,-8418.589841
611.1428413,-68161.63372,-21778.49227,-8419.941693
611.176259,-68162.33438,-21780.2286,-8421.293509
611.2096767,-68163.03474,-21781.96483,-8422.64529
611.2430944,-68163.73481,-21783.70096,-8423.997034
611.2765121,-68164.43459,-21785.43701,-8425.348742
611.3099298,-68165.13408,-21787.17296,-8426.700414
611.3433475,-68165.83328,-21788.90882,-8428.05205
611.3767652,-68166.53218,-21790.64458,-8429.403649
611.4101829,-68167.2308,-21792.38026,-8430.755213
611.4436006,-68167.92912,-21794.11583,-8432.10674
611.4770183,-68168.62715,-21795.85132,-8433.458232
611.510436,-68169.32488,-21797.58671,-8434.809687
611.5438537,-68170.02233,-21799.32201,-8436.161106
611.5772714,-68170.71948,-21801.05721,-8437.512489
611.610689,-68171.41634,-21802.79232,-8438.863835
611.6441067,-68172.11291,-21804.52734,-8440.215146
611.6775244,-68172.80919,-21806.26227,-8441.56642
611.7109421,-68173.50518,-21807.9971,-8442.917658
611.7443598,-68174.20087,-21809.73183,-8444.26886
611.7777775,-68174.89628,-21811.46648,-8445.620026
611.8111952,-68175.59139,-21813.20103,-8446.971156
611.8446129,-68176.28621,-21814.93549,-8448.322249
611.8780306,-68176.98073,-21816.66985,-8449.673307
611.9114483,-68177.67497,-21818.40412,-8451.024328
611.944866,-68178.36891,-21820.1383,-8452.375313
611.9782837,-68179.06256,-21821.87238,-8453.726261
612.0117014,-68179.75592,-21823.60637,-8455.077174
612.0451191,-68180.44899,-21825.34027,-8456.42805
612.0785368,-68181.14177,-21827.07407,-8457.77889
612.1119545,-68181.83426,-21828.80778,-8459.129694
